lojbo	lojbo gi'e nu'o bredi	glico
ni'o la .alis. na djica lo nu za'u re'u cnixai la sipsmacu gi'e se ki'u bo kajde ke tolsti cusku «lu mi na jimpe .i my cpacu lo satyjisra ma li'u»	ni'o la .alis. na djica lo nu za'u re'u cnixai la sipsmacu gi'e se ki'u bo kajde ke tolsti cusku lu mi na jimpe .i my cpacu lo satyjisra ma li'u	Alice did not wish to offend the Dormouse again, so she began very cautiously: 'But I don't understand. Where did they draw the treacle from?'
ni'o «lu ka'u ka'e cpacu lo djacu lo djacu jintyke'a –sei la mapypre cu cusku– .i si'a li'a ka'e cpacu lo satyjisra lo satyjisra jintyke'a vau ie pei doi bebna li'u»	ni'o lu ka'u ka'e cpacu lo djacu lo djacu jintyke'a –sei la mapypre cu cusku– .i si'a li'a ka'e cpacu lo satyjisra lo satyjisra jintyke'a vau .ie pei doi bebna li'u	You can draw water out of a water-well,' said the Hatter; 'so I should think you could draw treacle out of a treacle-well—eh, stupid?'
ni'o «lu ku'i my ba'e nenri lo jintyke'a –sei la .alis. fi la sipsmacu cu cusku co naljundi be lo ro moi pinka– li'u»	ni'o lu ku'i my ba'e nenri lo jintyke'a –sei la .alis. fi la sipsmacu cu cusku co naljundi be lo ro moi pinka– li'u	But they were IN the well,' Alice said to the Dormouse, not choosing to notice this last remark.
ni'o «lu li'a go'i –sei la sipsmacu cu cusku– .i nenri lo jintyke'a li'u»	ni'o lu li'a go'i –sei la sipsmacu cu cusku– .i nenri lo jintyke'a li'u	Of course they were', said the Dormouse; '—well in.'
ni'o lo danfu tai mutce cfipu la .alis. uu ja'e lo nu curmi lo nu la sipsmacu ca'o co'e ze'a lo nu .abu na zunti	ni'o lo danfu tai mutce cfipu la .alis. .uu ja'e lo nu curmi lo nu la sipsmacu ca'o co'e ze'a lo nu .abu na zunti	This answer so confused poor Alice, that she let the Dormouse go on for some time without interrupting it.
ni'o «lu my ca'o crebi'o lo nu te pixra –sei la sipsmacu di'a co'e– li'u» .i sy sipfru gi'e mosra lo kanla ki'u lo nu co'a sipydji .i «lu my te pixra so'i klesi be lo dacti .i ro da poi zo my pa moi lo cmene be ke'a lerfu li'u»	ni'o lu my ca'o crebi'o lo nu te pixra –sei la sipsmacu di'a co'e– li'u .i sy sipfru gi'e mosra lo kanla ki'u lo nu co'a sipydji .i lu my te pixra so'i klesi be lo dacti .i ro da poi zo my pa moi lo cmene be ke'a lerfu li'u	They were learning to draw,' the Dormouse went on, yawning and rubbing its eyes, for it was getting very sleepy; 'and they drew all manner of things—everything that begins with an M—'
ni'o «lu ki'u ma zo my –sei la .alis. cu cusku– li'u»	ni'o lu ki'u ma zo my li'u se cusku la .alis.	Why with an M?' said Alice.
ni'o «lu ki'u ma na ku da'i –sei la cibmasti cicyractu cu cusku– li'u»	ni'o lu ki'u ma na ku da'i –sei la cibmasti cicyractu cu cusku– li'u	Why not?' said the March Hare.
ni'o la .alis. cu smaji	ni'o la .alis. cu smaji	Alice was silent.
ni'o la sipsmacu ba'o ga'orgau lo kanla ca la'e di'u gi'e ca'o co'a sipna .i ku'i sy ca lo nu se tunta la mapypre cu za'u re'u cikybi'o gi'e cmalu krixa gi'e di'a cusku «lu li'o ro da poi zo my pa moi lo cmene be ke'a lerfu .i mu'a lo mirli terkavbu .e lo mluni .e lo mojrango .e lo mutce .i ka'u da ka'e mutce .i xu do su'o roi viska lo pixra be lo mutce li'u»	ni'o la sipsmacu ba'o ga'orgau lo kanla ca la'e di'u gi'e ca'o co'a sipna .i ku'i sy ca lo nu se tunta la mapypre cu za'u re'u cikybi'o gi'e cmalu krixa gi'e di'a cusku lu li'o ro da poi zo my pa moi lo cmene be ke'a lerfu .i mu'a lo mirli terkavbu .e lo mluni .e lo mojrango .e lo mutce .i ka'u da ka'e mutce .i xu do su'o roi viska lo pixra be lo mutce li'u	The Dormouse had closed its eyes by this time, and was going off into a doze; but, on being pinched by the Hatter, it woke up again with a little shriek, and went on: '—that begins with an M, such as mouse-traps, and the moon, and memory, and muchness—you know you say things are "much of a muchness"—did you ever see such a thing as a drawing of a muchness?'
ni'o «lu je'u ua ru'e –sei la .alis. cu mutce se cfipu cusku– .i pe'i na go'i li'u»	ni'o lu je'u .ua ru'e –sei la .alis. cu mutce se cfipu cusku– .i pe'i na go'i li'u	Really, now you ask me,' said Alice, very much confused, 'I don't think—'
ni'o «lu .ei va'o la'e di'u do na tavla –sei la mapypre cu cusku– li'u»	ni'o lu .ei va'o la'e di'u do na tavla –sei la mapypre cu cusku– li'u	Then you shouldn't talk,' said the Hatter.
ni'o lo di'u se tolclite cu zmadu lo sarji selka'e be la .alis. .i .abu selrigni gi'e sa'irbi'o gi'e to'o cadzu .i la sipsmacu cu zi sipybi'o .i no lo re drata cu jundi lo nu .abu cliva .i .abu ji'i re roi trixe catlu fau lo nu xadba pacna lo du'u lo re mei cu xrucpe .abu .i lo re mei ca lo nu ro moi se viska .abu cu troci lo nu setca la sipsmacu lo tcati patxu	ni'o lo di'u se tolclite cu zmadu lo sarji selka'e be la .alis. .i .abu selrigni gi'e sa'irbi'o gi'e to'o cadzu .i la sipsmacu cu zi sipybi'o .i no lo re drata cu jundi lo nu .abu cliva .i .abu ji'i re roi trixe catlu fau lo nu xadba pacna lo du'u lo re mei cu xrucpe .abu .i lo re mei ca lo nu ro moi se viska .abu cu troci lo nu setca la sipsmacu lo tcati patxu	This piece of rudeness was more than Alice could bear: she got up in great disgust, and walked off; the Dormouse fell asleep instantly, and neither of the others took the least notice of her going, though she looked back once or twice, half hoping that they would call after her: the last time she saw them, they were trying to put the Dormouse into the teapot.
ni'o «lu ta'o nai .ai mi no roi za'u re'u klama ba'e tu –sei la .alis. ca lo nu pluta sisku pa'o lo ricfoi cu cusku– .i traji lo kambebna lo tcati kansi'u poi mi pagbu ca lo nu mi jmive li'u»	ni'o lu ta'o nai .ai mi no roi za'u re'u klama ba'e tu –sei la .alis. ca lo nu pluta sisku pa'o lo ricfoi cu cusku– .i traji lo kambebna lo tcati kansi'u poi mi pagbu ca lo nu mi jmive li'u	At any rate I'll never go THERE again!' said Alice as she picked her way through the wood. 'It's the stupidest tea-party I ever was at in all my life!'
ni'o .abu ca lo nu cusku di'u cu co'a sanji lo nu pa lo tricu cu ve vorme lo ty nenri .i «lu cizra –sei .abu pensi– .i ku'i ro da cizra ca lo cabdei .i pe'i .ai mi ca zi nerkla li'u» .i .abu nerkla	ni'o .abu ca lo nu cusku di'u cu co'a sanji lo nu pa lo tricu cu ve vorme lo ty nenri .i lu cizra –li'u se pensi .abu fa lu .i ku'i ro da cizra ca lo cabdei .i pe'i .ai mi ca zi nerkla li'u .i .abu nerkla	Just as she said this, she noticed that one of the trees had a door leading right into it. 'That's very curious!' she thought. 'But everything's curious today. I think I may as well go in at once.' And in she went.
ni'o .abu cu za'u re'u zvati lo clani kumfa gi'e jibni lo cmalu ke blaci jubme ni'o «lu .e'e mi xagmau snada ca lo ca krefu –sei .abu sezysku– li'u» .i pa mai .abu jgari lo cmalu ke solji ckiku gi'e telcaugau lo vorme be lo purdi .i re mai .abu co'a citka lo gumri noi pu punji lo spisa be ke'a lo daski ku'o co'u lo nu .abu centre li ji'i ci no .i ci mai .abu cadzu pa'o lo cmalu vorlu'a .i ba'e ro mai uo .abu zvati lo melbi purdi gi'e jbini lo carmi ke xrula zdani .e lo lenku milxe je'erjinto	ni'o .abu cu za'u re'u zvati lo clani kumfa gi'e jibni lo cmalu ke blaci jubme ni'o fe lu .e'e mi xagmau snada ca lo ca krefu –li'u fa .abu cusku fi lo nei .i pa mai .abu jgari lo cmalu ke solji ckiku gi'e telcaugau lo vorme be lo purdi .i re mai .abu co'a citka lo gumri noi pu punji lo spisa be ke'a lo daski ku'o co'u lo nu .abu centre li ji'i ci no .i ci mai .abu cadzu pa'o lo cmalu vorlu'a .i ba'e ro mai .uo .abu zvati lo melbi purdi gi'e jbini lo carmi ke xrula zdani .e lo lenku milxe je'erjinto	Once more she found herself in the long hall, and close to the little glass table. 'Now, I'll manage better this time,' she said to herself, and began by taking the little golden key, and unlocking the door that led into the garden. Then she went to work nibbling at the mushroom (she had kept a piece of it in her pocket) till she was about a foot high: then she walked down the little passage: and THEN—she found herself at last in the beautiful garden, among the bright flower-beds and the cool fountains.
ni'o ni'o bi mo'o me la noltruni'u moi kelcrkroke bo foldi	ni'o ni'o bi mo'o me la noltruni'u moi kelcrkroke bo foldi	CHAPTER VIII. The Queen's Croquet-Ground
ni'o lo barda ke rozgu tricu cu jibni lo vorme be lo purdi .i lo rozgu poi xrula ty cu blabi .i ku'i ci purdykurji cu ca'o punji lo xunre cinta ry .i la .alis. cu pensi jinvi lo du'u mutce cizra kei gi'e jbize'a te zu'e lo nu catlu .i .abu ca lo nu ba'o klama cu tirna lo nu pa lo purdykurji cu cusku «lu .o'i doi .mum. ko na renro lo cinta mi li'u»	ni'o lo barda ke rozgu tricu cu jibni lo vorme be lo purdi .i lo rozgu poi xrula ty cu blabi .i ku'i ci purdykurji cu ca'o punji lo xunre cinta ry .i la .alis. cu pensi jinvi lo du'u mutce cizra kei gi'e jbize'a te zu'e lo nu catlu .i .abu ca lo nu ba'o klama cu tirna lo nu pa lo purdykurji cu cusku lu .o'i doi mum ko na renro lo cinta mi li'u	A large rose-tree stood near the entrance of the garden: the roses growing on it were white, but there were three gardeners at it, busily painting them red. Alice thought this a very curious thing, and she went nearer to watch them, and just as she came up to them she heard one of them say, 'Look out now, Five! Don't go splashing paint over me like that!'
ni'o «lu .oi mi pu na ka'e rivbi –sei la .mum. cu cusku– .i la .zel. pu catke lo mi bircidni li'u»	ni'o lu .oi mi pu na ka'e rivbi –sei la mum cu cusku– .i la zel pu catke lo mi bircidni li'u	I couldn't help it,' said Five, in a sulky tone; 'Seven jogged my elbow.'
ni'o ca la'e di'u la .zel. cu galcatlu gi'e cusku «lu .e'e doi .mum. ko ro roi fuzgau lo drata li'u»	ni'o ca la'e di'u la zel cu galcatlu gi'e cusku lu .e'e doi mum ko ro roi fuzgau lo drata li'u	On which Seven looked up and said, 'That's right, Five! Always lay the blame on others!'
ni'o «lu .ei ba'e do na tavla –sei la .mum. cu cusku– .i ti'e la noltruni'u cu xusra ca lo purlamdei lo du'u .ei vimcu lo stedu do li'u»	ni'o lu .ei ba'e do na tavla –sei la mum cu cusku– .i ti'e la noltruni'u cu xusra ca lo purlamdei lo du'u .ei vimcu lo stedu do li'u	YOU'D better not talk!' said Five. 'I heard the Queen say only yesterday you deserved to be beheaded!'
ni'o «lu ma krinu –sei lo tavla pa moi cu cusku– li'u»	ni'o lu ma krinu –sei lo tavla pa moi cu cusku– li'u	What for?' said the one who had spoken first.
ni'o «lu la'e di'u ba'e do na cuntu doi .rel. –sei la .zel. cu cusku– li'u»	ni'o lu la'e di'u ba'e do na cuntu doi rel –sei la zel cu cusku– li'u	That's none of YOUR business, Two!' said Seven.
ni'o «lu ba'e ja'a go'i –sei la .mum. cu cusku– .i .ai mi ta jungau .i krinu fa lo nu sabji lo tujli genja .e nai ba'i bo lo sluni lo jukpa li'u»	ni'o lu ba'e ja'a go'i –sei la mum cu cusku– .i .ai mi ta jungau .i krinu fa lo nu sabji lo tujli genja .e nai ba'i bo lo sluni lo jukpa li'u	Yes, it IS his business!' said Five, 'and I'll tell him—it was for bringing the cook tulip-roots instead of onions.'
ni'o la .zel. cu bikre'o lo burcu lo cnita gi'e co'a cusku «lu ua ve rai lo ro toldra li'u» .i ca bo lo zy kanla cu cunso se farna la .alis. noi sanli gi'e catlu lo purdykurji .i zy ze'i sezydicra .i lo drata ji'a cu catlu lo trixe .i lo ro mei cu dizlo krobi'o	ni'o la zel cu bikre'o lo burcu lo cnita gi'e co'a cusku lu .ua ve rai lo ro toldra li'u .i ca bo lo zy kanla cu cunso se farna la .alis. noi sanli gi'e catlu lo purdykurji .i zy ze'i sezydicra .i lo drata ji'a cu catlu lo trixe .i lo ro mei cu dizlo krobi'o	Seven flung down his brush, and had just begun 'Well, of all the unjust things—' when his eye chanced to fall upon Alice, as she stood watching them, and he checked himself suddenly: the others looked round also, and all of them bowed low.
ni'o «lu .e'o do mi jungau –sei la .alis. cu toldarsi milxe cusku– lo du'u ki'u ma kau do punji lo cinta lo va rozgu li'u»	ni'o lu .e'o do mi jungau –sei la .alis. cu toldarsi milxe cusku– lo du'u ki'u ma kau do punji lo cinta lo va rozgu li'u	Would you tell me,' said Alice, a little timidly, 'why you are painting those roses?'
ni'o la .mum. .e la .zel. cu cusku no da gi'e catlu la .rel. .i la .rel. co'a kandi voksa cusku «lu je'u sa'u doi citni'u ti ba'e xunre .ei rozgu tricu .i mi'a pu srera lo nu sombo lo blabi .i ro mi'a va'o lo nu la noltruni'u cu facki la'e di'u cu ba katna te vimcu lo stedu .i to'u sa'u doi citni'u mi'a zukte lo mi'a xagrai pu lo nu ny klama li'u» .i ca ku la .mum. noi pu ca'o xanka catlu lo purdi cu krixa «lu la noltruni'u .i la noltruni'u li'u» .i lo ci purdykurji cu sezre'o ja'e lo nu lo flira cu cpana lo loldi .i sance so'i nu stapa .i la .alis. cu catlu lo sruri gi'e djica lo nu viska la noltruni'u	ni'o la mum .e la zel cu cusku no da gi'e catlu la rel .i la rel co'a kandi voksa cusku lu je'u sa'u doi citni'u ti ba'e xunre .ei rozgu tricu .i mi'a pu srera lo nu sombo lo blabi .i ro mi'a va'o lo nu la noltruni'u cu facki la'e di'u cu ba katna te vimcu lo stedu .i to'u sa'u doi citni'u mi'a zukte lo mi'a xagrai pu lo nu ny klama li'u .i ca ku la mum noi pu ca'o xanka catlu lo purdi cu krixa lu la noltruni'u .i la noltruni'u li'u .i lo ci purdykurji cu sezre'o ja'e lo nu lo flira cu cpana lo loldi .i sance so'i nu stapa .i la .alis. cu catlu lo sruri gi'e djica lo nu viska la noltruni'u	Five and Seven said nothing, but looked at Two. Two began in a low voice, 'Why the fact is, you see, Miss, this here ought to have been a RED rose-tree, and we put a white one in by mistake; and if the Queen was to find it out, we should all have our heads cut off, you know. So you see, Miss, we're doing our best, afore she comes, to—' At this moment Five, who had been anxiously looking across the garden, called out 'The Queen! The Queen!' and the three gardeners instantly threw themselves flat upon their faces. There was a sound of many footsteps, and Alice looked round, eager to see the Queen.
ni'o klama pa moi fa lo pa no sonci noi bevri lo xacyga'a .i sy mintu lo purdykurji lo ka ma kau tarmi ce'u .i clani kurfa gi'e plita gi'e se kojna lo xance jo'u lo jamfu .i jersi fa lo pa no nolkansa noi ricfu se jadni lo tabjme gi'e re mei cadzu du'i tu'a lo sonci .i jersi fa lo noltru panzi noi pa no mei .i lo cmalu dirba cu gleki plipe klama co xance jgari re mei .i ro lo panzi cu se jadni lo risna .i jersi fa lo vitke .i so'e ri noltrunau ja noltruni'u .i la .alis. cu sajbi'o la blabi ractu noi jbini vy .i ry sutra je xanka tavla gi'e cisma frati ro se cusku gi'e zo'a klama se cau lo nu sanji .abu .i jersi fa la nolse'u pe lo risna zi'e noi bevri lo noltrunau mapku se pi'o lo zirxu'e ranbu'u kicne .i fanmo lo banli dzupoi fa ba'e fu'e LA NOLTRUNAU JO'U LA NOLTRUNI'U VU'O PE LO RISNA fu'o	ni'o klama pa moi fa lo pa no sonci noi bevri lo xacyga'a .i sy mintu lo purdykurji lo ka ma kau tarmi ce'u .i clani kurfa gi'e plita gi'e se kojna lo xance jo'u lo jamfu .i jersi fa lo pa no nolkansa noi ricfu se jadni lo tabjme gi'e re mei cadzu du'i tu'a lo sonci .i jersi fa lo noltru panzi noi pa no mei .i lo cmalu dirba cu gleki plipe klama co xance jgari re mei .i ro lo panzi cu se jadni lo risna .i jersi fa lo vitke .i so'e ri noltrunau ja noltruni'u .i la .alis. cu sajbi'o la blabi ractu noi jbini vy .i ry sutra je xanka tavla gi'e cisma frati ro se cusku gi'e zo'a klama se cau lo nu sanji .abu .i jersi fa la nolse'u pe lo risna zi'e noi bevri lo noltrunau mapku se pi'o lo zirxu'e ranbu'u kicne .i fanmo lo banli dzupoi fa ba'e fu'e la noltrunau jo'u la noltruni'u vu'o pe lo risna fu'o	First came ten soldiers carrying clubs; these were all shaped like the three gardeners, oblong and flat, with their hands and feet at the corners: next the ten courtiers; these were ornamented all over with diamonds, and walked two and two, as the soldiers did. After these came the royal children; there were ten of them, and the little dears came jumping merrily along hand in hand, in couples: they were all ornamented with hearts. Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit: it was talking in a hurried nervous manner, smiling at everything that was said, and went by without noticing her. Then followed the Knave of Hearts, carrying the King's crown on a crimson velvet cushion; and, last of all this grand procession, came THE KING AND QUEEN OF HEARTS.
ni'o la .alis. cu senpi lo du'u xu kau .ei cnita flira vreta tai tu'a lo ci purdykurji .i ku'i .abu na morji lo du'u ti'e la'e di'u dzupoi javni .i «lu ji'a ma ma prali lo dzupoi –sei .abu pensi– va'o lo nu .ei ro da cnita flira vreta ja'e lo nu na ka'e viska dy li'u» .i se ki'u bo .abu sanli lo se zvati gi'e denpa	ni'o la .alis. cu senpi lo du'u xu kau .ei cnita flira vreta tai tu'a lo ci purdykurji .i ku'i .abu na morji lo du'u ti'e la'e di'u dzupoi javni .i lu ji'a ma ma prali lo dzupoi –sei .abu pensi– va'o lo nu .ei ro da cnita flira vreta ja'e lo nu na ka'e viska dy li'u .i se ki'u bo .abu sanli lo se zvati gi'e denpa	Alice was rather doubtful whether she ought not to lie down on her face like the three gardeners, but she could not remember ever having heard of such a rule at processions; 'and besides, what would be the use of a procession,' thought she, 'if people had all to lie down upon their faces, so that they couldn't see it?' So she stood still where she was, and waited.
ni'o ro da ca lo nu lo dzupoi cu crane la .alis. cu sisti gi'e catlu .abu .i la noltruni'u cu junri cusku «lu ti mo li'u» .i ny di'u cusku la nolse'u pe lo risna zi'e noi spuda fi lo po'o nu krobi'o je cisma	ni'o ro da ca lo nu lo dzupoi cu crane la .alis. cu sisti gi'e catlu .abu .i la noltruni'u cu junri cusku lu ti mo li'u .i ny di'u cusku la nolse'u pe lo risna zi'e noi spuda fi lo po'o nu krobi'o je cisma	When the procession came opposite to Alice, they all stopped and looked at her, and the Queen said severely 'Who is this?' She said it to the Knave of Hearts, who only bowed and smiled in reply.
ni'o «lu doi bebna –sei la noltruni'u cu sutydji cusku– li'u» .i fa'a la .alis. ny di'a cusku «lu ma do cmene doi verba li'u»	ni'o lu doi bebna –sei la noltruni'u cu sutydji cusku– li'u .i fa'a la .alis. ny di'a cusku lu ma do cmene doi verba li'u	Idiot!' said the Queen, tossing her head impatiently; and, turning to Alice, she went on, 'What's your name, child?'
